Area_sqft,Bedrooms,Bathrooms,House_Age,Distance_City_km,Parking_Slots,Floor,Price_Lakhs
1460,3,3,10,26,1,6,64.52
1894,3,2,16,3,0,3,110.46
1730,1,2,7,8,1,9,83.0
1695,3,1,3,14,2,4,76.91
2238,3,4,5,24,2,1,98.69
2769,1,2,7,18,0,12,121.4
1066,3,4,19,15,0,10,69.38
1838,5,2,29,22,0,12,82.68
930,2,4,2,23,1,7,49.68
2082,2,3,15,2,1,3,116.67
2735,1,4,29,27,0,8,100.14
730,4,3,24,10,2,4,59.31
2285,1,3,2,2,1,12,144.29
1369,4,4,24,26,1,8,54.46
2991,2,3,28,17,1,3,101.2
2115,1,1,17,8,0,9,84.86
3453,5,3,13,1,0,4,180.99
3033,3,2,17,9,0,8,153.2
1815,4,4,1,11,0,7,108.63
1555,3,1,21,22,0,2,32.22
2924,3,4,2,16,2,0,151.04
1784,1,2,15,7,2,2,70.16
1059,3,2,28,29,0,3,36.16
621,5,2,8,10,1,1,58.86
2900,3,3,3,23,0,0,139.98
1347,1,3,0,26,2,6,67.38
1074,5,4,3,3,2,7,112.93
1682,2,4,0,18,1,6,105.02
3158,3,1,13,25,2,13,135.11
2647,1,1,20,24,0,4,73.52
3347,2,4,15,13,1,11,157.15
1575,2,3,19,28,0,0,48.62
2406,4,2,23,26,0,6,70.63
789,5,4,7,7,1,12,94.13
3334,3,1,6,25,0,6,122.86
1162,1,3,2,4,2,8,85.68
2499,4,4,16,13,0,2,127.57
1867,5,4,0,20,1,8,121.67
3479,4,3,15,1,1,13,189.44
2128,5,4,11,8,1,0,133.53
1246,5,3,26,14,0,0,58.75
2668,3,2,18,16,1,13,120.7
3488,5,3,21,14,1,3,165.19
2814,4,3,22,12,0,8,153.69
1897,5,3,21,19,2,5,105.43
3035,3,4,13,23,0,12,145.87
1200,3,4,29,15,1,10,52.04
2963,4,3,5,28,1,2,137.59
2661,2,4,5,2,0,0,135.47
841,2,1,12,2,2,3,47.73
2641,5,1,18,23,1,11,110.35
3424,1,4,21,22,1,12,163.97
3212,5,4,7,19,1,8,167.37
1963,4,3,26,25,0,2,68.98
2739,4,2,26,26,1,11,102.6
1990,4,4,1,29,2,8,103.04
2078,4,1,20,22,1,6,82.76
3156,4,3,29,26,1,11,136.73
1375,3,4,0,26,2,13,78.02
634,2,1,27,22,1,14,-6.08
2853,4,1,14,17,0,3,112.44
2555,1,2,0,20,0,2,114.97
2185,1,3,4,10,0,9,108.3
1621,1,3,27,6,2,14,88.03
3213,1,2,28,15,1,4,134.39
1729,3,2,15,22,0,4,71.32
2100,1,3,18,11,2,2,84.78
1302,4,3,3,28,1,11,74.09
3049,5,4,2,5,2,8,206.4
3377,1,4,16,1,0,3,161.29
2179,3,2,16,8,0,10,113.06
761,3,4,11,21,0,4,40.51
801,1,1,27,28,2,3,15.37
2581,5,4,29,12,2,4,132.17
1595,1,4,28,12,0,6,76.11
2917,3,1,13,5,2,8,146.91
1415,2,2,20,7,0,6,57.93
1055,4,1,5,4,0,12,75.97
1875,3,4,2,6,1,4,123.4
1616,1,2,27,13,2,9,84.04
2943,4,4,8,20,0,9,154.63
3367,1,1,4,15,0,6,146.85
937,1,1,23,3,2,13,62.93
1478,2,4,28,23,1,14,66.92
1676,4,3,16,8,1,9,94.98
1391,4,3,13,20,0,4,83.15
2864,2,1,20,16,2,2,112.48
1363,3,1,2,13,1,6,68.24
2835,1,3,27,18,2,12,112.09
979,5,3,0,28,2,10,60.09
1092,1,4,19,10,0,10,57.27
1780,1,4,28,19,1,1,62.92
2662,3,3,20,17,0,14,90.01
664,1,4,22,24,1,11,17.4
3168,2,4,0,19,1,8,155.38
1967,2,2,2,28,1,9,93.64
1752,4,4,17,26,1,9,81.81
2627,5,1,24,23,1,11,142.41
3295,1,4,9,26,2,0,157.84
2095,1,4,21,5,0,12,100.78
